VTX, IDX, POSITION.x, POSITION.y, POSITION.z
140, 140,  0.19791,  0.09988, -0.97512
141, 141,  0.29347,  0.10032, -0.95069
142, 142,  0.24491,  0.05029, -0.96824
143, 143,  0.33887,  0.05028, -0.93949
144, 144,  0.24491,  0.05029, -0.96824
145, 145,  0.19509,  0.00, -0.98079
146, 146,  0.38268,  0.00, -0.92388
147, 147,  0.33887,  0.05028, -0.93949
148, 148,  0.24491,  0.05029, -0.96824
149, 149,  0.38268,  0.00, -0.92388
150, 150,  0.38268,  0.00, -0.92388
151, 151,  0.38984,  0.05258, -0.91938
152, 152,  0.33887,  0.05028, -0.93949
153, 153,  0.33887,  0.05028, -0.93949
154, 154,  0.38984,  0.05258, -0.91938
155, 155,  0.39589,  0.10502, -0.91227
156, 156,  0.33887,  0.05028, -0.93949
157, 157,  0.39589,  0.10502, -0.91227
158, 158,  0.29347,  0.10032, -0.95069
159, 159,  0.40462,  0.20885, -0.89032
160, 160,  0.35026,  0.15512, -0.92372
161, 161,  0.40082,  0.15716, -0.90258
162, 162,  0.35026,  0.15512, -0.92372
163, 163,  0.29347,  0.10032, -0.95069
164, 164,  0.39589,  0.10502, -0.91227
165, 165,  0.40082,  0.15716, -0.90258
166, 166,  0.35026,  0.15512, -0.92372
167, 167,  0.39589,  0.10502, -0.91227
168, 168,  0.29347,  0.10032, -0.95069
169, 169,  0.35026,  0.15512, -0.92372
170, 170,  0.24669,  0.14989, -0.95743
171, 171,  0.35026,  0.15512, -0.92372
172, 172,  0.40462,  0.20885, -0.89032
173, 173,  0.19876,  0.19876, -0.95968
174, 174,  0.24669,  0.14989, -0.95743
175, 175,  0.35026,  0.15512, -0.92372
176, 176,  0.19876,  0.19876, -0.95968
177, 177,  0.40462,  0.20885, -0.89032
178, 178,  0.40875,  0.31031, -0.85827
179, 179,  0.30971,  0.30971, -0.89898
180, 180,  0.30971,  0.30971, -0.89898
181, 181,  0.40875,  0.31031, -0.85827
182, 182,  0.40825,  0.40825, -0.8165
183, 183,  0.30971,  0.30971, -0.89898
184, 184,  0.40825,  0.40825, -0.8165
185, 185,  0.20885,  0.40462, -0.89032
186, 186,  0.20885,  0.40462, -0.89032
187, 187,  0.20502,  0.30349, -0.93052
188, 188,  0.30971,  0.30971, -0.89898
189, 189,  0.30971,  0.30971, -0.89898
190, 190,  0.20502,  0.30349, -0.93052
191, 191,  0.19876,  0.19876, -0.95968
192, 192,  0.30971,  0.30971, -0.89898
193, 193,  0.19876,  0.19876, -0.95968
194, 194,  0.40462,  0.20885, -0.89032
195, 195,  0.19876,  0.19876, -0.95968
196, 196,  0.20502,  0.30349, -0.93052
197, 197,  0.10032,  0.29347, -0.95069
198, 198,  0.10032,  0.29347, -0.95069
199, 199,  0.20502,  0.30349, -0.93052
200, 200,  0.20885,  0.40462, -0.89032
201, 201,  0.10032,  0.29347, -0.95069
202, 202,  0.20885,  0.40462, -0.89032
203, 203,  0.00,  0.38268, -0.92388
204, 204,  0.57735,  0.21132, -0.78868
205, 205,  0.57443,  0.15904, -0.80296
206, 206,  0.61387,  0.15929, -0.77317
207, 207,  0.61387,  0.15929, -0.77317
208, 208,  0.57443,  0.15904, -0.80296
209, 209,  0.56982,  0.10629, -0.81487
210, 210,  0.61387,  0.15929, -0.77317
211, 211,  0.56982,  0.10629, -0.81487
212, 212,  0.64777,  0.10657, -0.75434
213, 213,  0.55557,  0.00, -0.83147
214, 214,  0.60362,  0.05346, -0.79548
215, 215,  0.56352,  0.05322, -0.82438
216, 216,  0.60362,  0.05346, -0.79548
217, 217,  0.64777,  0.10657, -0.75434
218, 218,  0.56982,  0.10629, -0.81487
219, 219,  0.56352,  0.05322, -0.82438
220, 220,  0.60362,  0.05346, -0.79548
221, 221,  0.56982,  0.10629, -0.81487
222, 222,  0.64777,  0.10657, -0.75434
223, 223,  0.60362,  0.05346, -0.79548
224, 224,  0.67889,  0.0534, -0.73229
225, 225,  0.60362,  0.05346, -0.79548
226, 226,  0.55557,  0.00, -0.83147
227, 227,  0.70711,  0.00, -0.70711
228, 228,  0.67889,  0.0534, -0.73229
229, 229,  0.60362,  0.05346, -0.79548
230, 230,  0.70711,  0.00, -0.70711
231, 231,  0.40825,  0.40825, -0.8165
232, 232,  0.40875,  0.31031, -0.85827
233, 233,  0.49705,  0.31246, -0.80951
234, 234,  0.49705,  0.31246, -0.80951
235, 235,  0.40875,  0.31031, -0.85827
236, 236,  0.40462,  0.20885, -0.89032
237, 237,  0.49705,  0.31246, -0.80951
238, 238,  0.40462,  0.20885, -0.89032
239, 239,  0.57735,  0.21132, -0.78868
240, 240,  0.55557,  0.00, -0.83147
241, 241,  0.56352,  0.05322, -0.82438
242, 242,  0.5211,  0.05279, -0.85186
243, 243,  0.5211,  0.05279, -0.85186
244, 244,  0.56352,  0.05322, -0.82438
245, 245,  0.56982,  0.10629, -0.81487
246, 246,  0.5211,  0.05279, -0.85186
247, 247,  0.56982,  0.10629, -0.81487
248, 248,  0.48434,  0.10535, -0.86851
249, 249,  0.57735,  0.21132, -0.78868
250, 250,  0.5326,  0.15886, -0.83133
251, 251,  0.57443,  0.15904, -0.80296
252, 252,  0.5326,  0.15886, -0.83133
253, 253,  0.48434,  0.10535, -0.86851
254, 254,  0.56982,  0.10629, -0.81487
255, 255,  0.57443,  0.15904, -0.80296
256, 256,  0.5326,  0.15886, -0.83133
257, 257,  0.56982,  0.10629, -0.81487
258, 258,  0.48434,  0.10535, -0.86851
259, 259,  0.5326,  0.15886, -0.83133
260, 260,  0.44546,  0.15744, -0.88135
261, 261,  0.5326,  0.15886, -0.83133
262, 262,  0.57735,  0.21132, -0.78868
263, 263,  0.40462,  0.20885, -0.89032
264, 264,  0.44546,  0.15744, -0.88135
265, 265,  0.5326,  0.15886, -0.83133
266, 266,  0.40462,  0.20885, -0.89032
267, 267,  0.40462,  0.20885, -0.89032
268, 268,  0.40082,  0.15716, -0.90258
269, 269,  0.44546,  0.15744, -0.88135
270, 270,  0.44546,  0.15744, -0.88135
271, 271,  0.40082,  0.15716, -0.90258
272, 272,  0.39589,  0.10502, -0.91227
273, 273,  0.44546,  0.15744, -0.88135
274, 274,  0.39589,  0.10502, -0.91227
275, 275,  0.48434,  0.10535, -0.86851
276, 276,  0.38268,  0.00, -0.92388
277, 277,  0.43485,  0.05284, -0.89895
278, 278,  0.38984,  0.05258, -0.91938
279, 279,  0.43485,  0.05284, -0.89895
280, 280,  0.48434,  0.10535, -0.86851
281, 281,  0.39589,  0.10502, -0.91227
282, 282,  0.38984,  0.05258, -0.91938
283, 283,  0.43485,  0.05284, -0.89895
284, 284,  0.39589,  0.10502, -0.91227
285, 285,  0.48434,  0.10535, -0.86851
286, 286,  0.43485,  0.05284, -0.89895
287, 287,  0.5211,  0.05279, -0.85186
288, 288,  0.43485,  0.05284, -0.89895
289, 289,  0.38268,  0.00, -0.92388
290, 290,  0.55557,  0.00, -0.83147
291, 291,  0.5211,  0.05279, -0.85186
292, 292,  0.43485,  0.05284, -0.89895
293, 293,  0.55557,  0.00, -0.83147
294, 294,  0.70711,  0.00, -0.70711
295, 295,  0.73229,  0.0534, -0.67889
296, 296,  0.67889,  0.0534, -0.73229
297, 297,  0.73229,  0.0534, -0.67889
298, 298,  0.75434,  0.10657, -0.64777
299, 299,  0.64777,  0.10657, -0.75434
300, 300,  0.67889,  0.0534, -0.73229
301, 301,  0.73229,  0.0534, -0.67889
302, 302,  0.64777,  0.10657, -0.75434
303, 303,  0.78868,  0.21132, -0.57735
304, 304,  0.72387,  0.1602, -0.67108
305, 305,  0.77317,  0.15929, -0.61387
306, 306,  0.72387,  0.1602, -0.67108
307, 307,  0.64777,  0.10657, -0.75434
308, 308,  0.75434,  0.10657, -0.64777
309, 309,  0.77317,  0.15929, -0.61387
310, 310,  0.72387,  0.1602, -0.67108
311, 311,  0.75434,  0.10657, -0.64777
312, 312,  0.64777,  0.10657, -0.75434
313, 313,  0.72387,  0.1602, -0.67108
314, 314,  0.61387,  0.15929, -0.77317
315, 315,  0.72387,  0.1602, -0.67108
316, 316,  0.78868,  0.21132, -0.57735
317, 317,  0.57735,  0.21132, -0.78868
318, 318,  0.61387,  0.15929, -0.77317
319, 319,  0.72387,  0.1602, -0.67108
320, 320,  0.57735,  0.21132, -0.78868
321, 321,  0.78868,  0.21132, -0.57735
322, 322,  0.80951,  0.31246, -0.49705
323, 323,  0.72069,  0.32179, -0.61406
324, 324,  0.72069,  0.32179, -0.61406
325, 325,  0.80951,  0.31246, -0.49705
326, 326,  0.8165,  0.40825, -0.40825
327, 327,  0.72069,  0.32179, -0.61406
328, 328,  0.8165,  0.40825, -0.40825
329, 329,  0.6396,  0.4264, -0.6396
330, 330,  0.6396,  0.4264, -0.6396
331, 331,  0.61406,  0.32179, -0.72069
332, 332,  0.72069,  0.32179, -0.61406
333, 333,  0.72069,  0.32179, -0.61406
334, 334,  0.61406,  0.32179, -0.72069
335, 335,  0.57735,  0.21132, -0.78868
336, 336,  0.72069,  0.32179, -0.61406
337, 337,  0.57735,  0.21132, -0.78868
338, 338,  0.78868,  0.21132, -0.57735
339, 339,  0.57735,  0.21132, -0.78868
340, 340,  0.61406,  0.32179, -0.72069
341, 341,  0.49705,  0.31246, -0.80951
342, 342,  0.61406,  0.32179, -0.72069
343, 343,  0.6396,  0.4264, -0.6396
344, 344,  0.40825,  0.40825, -0.8165
345, 345,  0.49705,  0.31246, -0.80951
346, 346,  0.61406,  0.32179, -0.72069
347, 347,  0.40825,  0.40825, -0.8165
348, 348,  0.8165,  0.40825, -0.40825
349, 349,  0.78868,  0.57735, -0.21132
350, 350,  0.6396,  0.6396, -0.4264
351, 351,  0.78868,  0.57735, -0.21132
352, 352,  0.70711,  0.70711,  0.00
353, 353,  0.57735,  0.78868, -0.21132
354, 354,  0.57735,  0.78868, -0.21132
355, 355,  0.6396,  0.6396, -0.4264
356, 356,  0.78868,  0.57735, -0.21132
357, 357,  0.40825,  0.8165, -0.40825
358, 358,  0.6396,  0.6396, -0.4264
359, 359,  0.57735,  0.78868, -0.21132
360, 360,  0.40825,  0.8165, -0.40825
361, 361,  0.4264,  0.6396, -0.6396
362, 362,  0.6396,  0.6396, -0.4264
363, 363,  0.4264,  0.6396, -0.6396
364, 364,  0.40825,  0.40825, -0.8165
365, 365,  0.6396,  0.4264, -0.6396
366, 366,  0.6396,  0.4264, -0.6396
367, 367,  0.6396,  0.6396, -0.4264
368, 368,  0.4264,  0.6396, -0.6396
369, 369,  0.8165,  0.40825, -0.40825
370, 370,  0.6396,  0.6396, -0.4264
371, 371,  0.6396,  0.4264, -0.6396
372, 372,  0.00,  0.70711, -0.70711
373, 373,  0.21132,  0.57735, -0.78868
374, 374,  0.21132,  0.78868, -0.57735
375, 375,  0.21132,  0.57735, -0.78868
376, 376,  0.40825,  0.40825, -0.8165
377, 377,  0.4264,  0.6396, -0.6396
378, 378,  0.4264,  0.6396, -0.6396
