VTX, IDX, _15.x, _15.y, _15.z, _18.x, _18.y, _18.z, _22.x, _22.y, _22.z, _22.w, _21.x, _21.y
44, 15, -0.11842,  0.05678,  0.19952, -0.02116,  0.63056,  0.77586,  0.01259, -0.7758,  0.63085, -1.00,  0.93018,  0.2876
45, 15, -0.11842,  0.05678,  0.19952, -0.02116,  0.63056,  0.77586,  0.01259, -0.7758,  0.63085, -1.00,  0.93018,  0.2876
46, 11, -0.12136,  0.01495,  0.20742, -0.10305, -0.04214,  0.99378, -0.00359, -0.99908, -0.04274, -1.00,  0.97461,  0.29053
47, 13, -0.05166,  0.03078,  0.21769, -0.12698,  0.27056,  0.95429,  0.00436, -0.96192,  0.2733, -1.00,  0.97363,  0.22412
48, 8, -0.23992,  0.07371,  0.16545,  0.05943,  0.91826,  0.3915,  0.35256, -0.38623,  0.85237, -1.00,  0.92188,  0.38916
49, 6, -0.17042,  0.03004,  0.1993,  0.07568,  0.02089,  0.99691,  0.0197, -0.99962,  0.01946, -1.00,  0.9624,  0.33374
50, 16, -0.16799,  0.06384,  0.19467,  0.05932,  0.69715,  0.71447,  0.04755, -0.71689,  0.69557, -1.00,  0.92676,  0.33105
51, 16, -0.16799,  0.06384,  0.19467,  0.05932,  0.69715,  0.71447,  0.04755, -0.71689,  0.69557, -1.00,  0.92676,  0.33105
52, 6, -0.17042,  0.03004,  0.1993,  0.07568,  0.02089,  0.99691,  0.0197, -0.99962,  0.01946, -1.00,  0.9624,  0.33374
53, 15, -0.11842,  0.05678,  0.19952, -0.02116,  0.63056,  0.77586,  0.01259, -0.7758,  0.63085, -1.00,  0.93018,  0.2876
54, 14,  0.02195,  0.00536,  0.22882, -0.14667, -0.09398,  0.98471,  0.01375, -0.99557, -0.09296, -1.00,  0.99365,  0.16064
55, 17,  0.02307,  0.03269,  0.22879, -0.09379,  0.3923,  0.91504, -0.00327, -0.91921,  0.39375, -1.00,  0.97314,  0.15967
56, 13, -0.05166,  0.03078,  0.21769, -0.12698,  0.27056,  0.95429,  0.00436, -0.96192,  0.2733, -1.00,  0.97363,  0.22412
57, 18,  0.09703,  0.01086,  0.23694, -0.0783,  0.0239,  0.99664, -0.039, -0.99902,  0.02089, -1.00,  0.99365,  0.09833
58, 17,  0.02307,  0.03269,  0.22879, -0.09379,  0.3923,  0.91504, -0.00327, -0.91921,  0.39375, -1.00,  0.97314,  0.15967
59, 14,  0.02195,  0.00536,  0.22882, -0.14667, -0.09398,  0.98471,  0.01375, -0.99557, -0.09296, -1.00,  0.99365,  0.16064
60, 19, -0.21537,  0.0697,  0.15487,  0.05062,  0.86524,  0.4988,  0.06008, -0.50117,  0.86326, -1.00,  0.88037,  0.37915
61, 8, -0.23992,  0.07371,  0.16545,  0.05943,  0.91826,  0.3915,  0.35256, -0.38623,  0.85237, -1.00,  0.92188,  0.38916
62, 16, -0.16799,  0.06384,  0.19467,  0.05932,  0.69715,  0.71447,  0.04755, -0.71689,  0.69557, -1.00,  0.92676,  0.33105
63, 19, -0.21537,  0.0697,  0.15487,  0.05062,  0.86524,  0.4988,  0.06008, -0.50117,  0.86326, -1.00,  0.88037,  0.37915
64, 9, -0.27168,  0.07081,  0.16065,  0.03347,  0.90376,  0.42673,  0.08061, -0.42802,  0.90017, -1.00,  0.88086,  0.42871
65, 8, -0.23992,  0.07371,  0.16545,  0.05943,  0.91826,  0.3915,  0.35256, -0.38623,  0.85237, -1.00,  0.92188,  0.38916
66, 19, -0.21537,  0.0697,  0.15487,  0.05062,  0.86524,  0.4988,  0.06008, -0.50117,  0.86326, -1.00,  0.88037,  0.37915
67, 16, -0.16799,  0.06384,  0.19467,  0.05932,  0.69715,  0.71447,  0.04755, -0.71689,  0.69557, -1.00,  0.92676,  0.33105
68, 20, -0.16737,  0.09198,  0.14938, -0.07612,  0.86892,  0.48907,  0.0435, -0.48713,  0.87225, -1.00,  0.87988,  0.32861
69, 20, -0.16737,  0.09198,  0.14938, -0.07612,  0.86892,  0.48907,  0.0435, -0.48713,  0.87225, -1.00,  0.87988,  0.32861
70, 16, -0.16799,  0.06384,  0.19467,  0.05932,  0.69715,  0.71447,  0.04755, -0.71689,  0.69557, -1.00,  0.92676,  0.33105
71, 15, -0.11842,  0.05678,  0.19952, -0.02116,  0.63056,  0.77586,  0.01259, -0.7758,  0.63085, -1.00,  0.93018,  0.2876
72, 15, -0.11842,  0.05678,  0.19952, -0.02116,  0.63056,  0.77586,  0.01259, -0.7758,  0.63085, -1.00,  0.93018,  0.2876
73, 13, -0.05166,  0.03078,  0.21769, -0.12698,  0.27056,  0.95429,  0.00436, -0.96192,  0.2733, -1.00,  0.97363,  0.22412
74, 21, -0.04942,  0.07447,  0.19277, -0.06931,  0.7188,  0.69176,  0.0167, -0.69249,  0.72123, -1.00,  0.92822,  0.22156
75, 21, -0.04942,  0.07447,  0.19277, -0.06931,  0.7188,  0.69176,  0.0167, -0.69249,  0.72123, -1.00,  0.92822,  0.22156
