VTX, IDX, Vertex_Position.x, Vertex_Position.y, Vertex_Position.z, Vertex_UV.x, Vertex_UV.y
612, 146,  1414.2135,  1414.2135,  0.00,  0.85791,  0.15417
613, 149,  1175.57043,  1618.03406,  0.00,  0.79736,  0.10437
614, 147,  1344.99792,  1414.2135, -437.01627,  0.84033,  0.12549
615, 149,  1175.57043,  1618.03406,  0.00,  0.79736,  0.10437
616, 150,  1118.03467,  1618.03406, -363.27148,  0.78271,  0.08057
617, 147,  1344.99792,  1414.2135, -437.01627,  0.84033,  0.12549
618, 148,  1344.99707,  1414.2135,  437.01605,  0.84033,  0.18286
619, 151,  1118.03406,  1618.03406,  363.27127,  0.78271,  0.12817
620, 146,  1414.2135,  1414.2135,  0.00,  0.85791,  0.15417
621, 151,  1118.03406,  1618.03406,  363.27127,  0.78271,  0.12817
622, 149,  1175.57043,  1618.03406,  0.00,  0.79736,  0.10437
623, 146,  1414.2135,  1414.2135,  0.00,  0.85791,  0.15417
624, 149,  1175.57043,  1618.03406,  0.00,  0.79736,  0.10437
625, 152,  907.98102,  1782.01306,  0.00,  0.72949,  0.06427
626, 150,  1118.03467,  1618.03406, -363.27148,  0.78271,  0.08057
627, 152,  907.98102,  1782.01306,  0.00,  0.72949,  0.06427
628, 153,  863.54187,  1782.01306, -280.58176,  0.71826,  0.04593
629, 150,  1118.03467,  1618.03406, -363.27148,  0.78271,  0.08057
630, 151,  1118.03406,  1618.03406,  363.27127,  0.78271,  0.12817
631, 154,  863.54132,  1782.01306,  280.5816,  0.71826,  0.08264
632, 149,  1175.57043,  1618.03406,  0.00,  0.79736,  0.10437
633, 154,  863.54132,  1782.01306,  280.5816,  0.71826,  0.08264
634, 152,  907.98102,  1782.01306,  0.00,  0.72949,  0.06427
635, 149,  1175.57043,  1618.03406,  0.00,  0.79736,  0.10437
636, 152,  907.98102,  1782.01306,  0.00,  0.72949,  0.06427
637, 155,  618.034,  1902.11304,  0.00,  0.65625,  0.03494
638, 153,  863.54187,  1782.01306, -280.58176,  0.71826,  0.04593
639, 155,  618.034,  1902.11304,  0.00,  0.65625,  0.03494
640, 156,  587.78564,  1902.11304, -190.98314,  0.64844,  0.02243
641, 153,  863.54187,  1782.01306, -280.58176,  0.71826,  0.04593
642, 154,  863.54132,  1782.01306,  280.5816,  0.71826,  0.08264
643, 157,  587.78528,  1902.11304,  190.98302,  0.64844,  0.04745
644, 152,  907.98102,  1782.01306,  0.00,  0.72949,  0.06427
645, 157,  587.78528,  1902.11304,  190.98302,  0.64844,  0.04745
646, 155,  618.034,  1902.11304,  0.00,  0.65625,  0.03494
