VTX, IDX, _input0.x, _input0.y, _input0.z, _input0.w, _input1.x, _input1.y, _input1.z, _input1.w, _input2.x, _input2.y
388, 117, -0.53076,  0.34229,  0.66504,  1.00, -0.66929,  0.00,  0.74016,  0.00,  0.729,  1.00
389, 70, -0.53027,  0.00,  0.66553,  1.00, -0.66929,  0.00,  0.74016,  0.00,  0.729,  0.50
390, 68, -0.4856,  0.00,  0.70313,  1.00, -0.61417,  0.00,  0.7874,  0.00,  0.7085,  0.50
391, 118, -0.48584,  0.35742,  0.70264,  1.00, -0.61417,  0.00,  0.7874,  0.00,  0.7085,  1.00
392, 117, -0.53076,  0.34229,  0.66504,  1.00, -0.66929,  0.00,  0.74016,  0.00,  0.729,  1.00
393, 66, -0.43994,  0.00,  0.73584,  1.00, -0.55906,  0.00,  0.82677,  0.00,  0.6875,  0.50
394, 118, -0.48584,  0.35742,  0.70264,  1.00, -0.61417,  0.00,  0.7874,  0.00,  0.7085,  1.00
395, 68, -0.4856,  0.00,  0.70313,  1.00, -0.61417,  0.00,  0.7874,  0.00,  0.7085,  0.50
396, 66, -0.43994,  0.00,  0.73584,  1.00, -0.55906,  0.00,  0.82677,  0.00,  0.6875,  0.50
397, 119, -0.44019,  0.37061,  0.73584,  1.00, -0.55118,  0.00,  0.83465,  0.00,  0.6875,  1.00
398, 118, -0.48584,  0.35742,  0.70264,  1.00, -0.61417,  0.00,  0.7874,  0.00,  0.7085,  1.00
399, 64, -0.39478,  0.00,  0.76416,  1.00, -0.50394,  0.00,  0.86614,  0.00,  0.6665,  0.50
400, 119, -0.44019,  0.37061,  0.73584,  1.00, -0.55118,  0.00,  0.83465,  0.00,  0.6875,  1.00
401, 66, -0.43994,  0.00,  0.73584,  1.00, -0.55906,  0.00,  0.82677,  0.00,  0.6875,  0.50
402, 64, -0.39478,  0.00,  0.76416,  1.00, -0.50394,  0.00,  0.86614,  0.00,  0.6665,  0.50
403, 120, -0.39478,  0.38159,  0.76416,  1.00, -0.49606,  0.00,  0.86614,  0.00,  0.6665,  1.00
404, 119, -0.44019,  0.37061,  0.73584,  1.00, -0.55118,  0.00,  0.83465,  0.00,  0.6875,  1.00
405, 62, -0.34912,  0.00,  0.78857,  1.00, -0.44094,  0.00,  0.89764,  0.00,  0.646,  0.50
406, 120, -0.39478,  0.38159,  0.76416,  1.00, -0.49606,  0.00,  0.86614,  0.00,  0.6665,  1.00
407, 64, -0.39478,  0.00,  0.76416,  1.00, -0.50394,  0.00,  0.86614,  0.00,  0.6665,  0.50
408, 62, -0.34912,  0.00,  0.78857,  1.00, -0.44094,  0.00,  0.89764,  0.00,  0.646,  0.50
409, 121, -0.34912,  0.39063,  0.78857,  1.00, -0.44094,  0.00,  0.89764,  0.00,  0.646,  1.00
410, 120, -0.39478,  0.38159,  0.76416,  1.00, -0.49606,  0.00,  0.86614,  0.00,  0.6665,  1.00
411, 60, -0.302,  0.00,  0.81006,  1.00, -0.38583,  0.00,  0.92126,  0.00,  0.625,  0.50
412, 121, -0.34912,  0.39063,  0.78857,  1.00, -0.44094,  0.00,  0.89764,  0.00,  0.646,  1.00
413, 62, -0.34912,  0.00,  0.78857,  1.00, -0.44094,  0.00,  0.89764,  0.00,  0.646,  0.50
414, 60, -0.302,  0.00,  0.81006,  1.00, -0.38583,  0.00,  0.92126,  0.00,  0.625,  0.50
415, 122, -0.302,  0.39819,  0.81006,  1.00, -0.37795,  0.00,  0.92126,  0.00,  0.625,  1.00
416, 121, -0.34912,  0.39063,  0.78857,  1.00, -0.44094,  0.00,  0.89764,  0.00,  0.646,  1.00
417, 58, -0.25366,  0.00,  0.82813,  1.00, -0.32283,  0.00,  0.94488,  0.00,  0.604,  0.50
418, 122, -0.302,  0.39819,  0.81006,  1.00, -0.37795,  0.00,  0.92126,  0.00,  0.625,  1.00
419, 60, -0.302,  0.00,  0.81006,  1.00, -0.38583,  0.00,  0.92126,  0.00,  0.625,  0.50
420, 58, -0.25366,  0.00,  0.82813,  1.00, -0.32283,  0.00,  0.94488,  0.00,  0.604,  0.50
421, 123, -0.25366,  0.40479,  0.82813,  1.00, -0.32283,  0.00,  0.94488,  0.00,  0.604,  1.00
422, 122, -0.302,  0.39819,  0.81006,  1.00, -0.37795,  0.00,  0.92126,  0.00,  0.625,  1.00
423, 56, -0.20435,  0.00,  0.84326,  1.00, -0.25984,  0.00,  0.9685,  0.00,  0.5835,  0.50
424, 123, -0.25366,  0.40479,  0.82813,  1.00, -0.32283,  0.00,  0.94488,  0.00,  0.604,  1.00
425, 58, -0.25366,  0.00,  0.82813,  1.00, -0.32283,  0.00,  0.94488,  0.00,  0.604,  0.50
426, 56, -0.20435,  0.00,  0.84326,  1.00, -0.25984,  0.00,  0.9685,  0.00,  0.5835,  0.50
427, 124, -0.20435,  0.41016,  0.84326,  1.00, -0.25984,  0.00,  0.9685,  0.00,  0.5835,  1.00
428, 123, -0.25366,  0.40479,  0.82813,  1.00, -0.32283,  0.00,  0.94488,  0.00,  0.604,  1.00
429, 54, -0.15405,  0.00,  0.85498,  1.00, -0.19685,  0.00,  0.98425,  0.00,  0.5625,  0.50
430, 124, -0.20435,  0.41016,  0.84326,  1.00, -0.25984,  0.00,  0.9685,  0.00,  0.5835,  1.00
431, 56, -0.20435,  0.00,  0.84326,  1.00, -0.25984,  0.00,  0.9685,  0.00,  0.5835,  0.50
432, 54, -0.15405,  0.00,  0.85498,  1.00, -0.19685,  0.00,  0.98425,  0.00,  0.5625,  0.50
433, 125, -0.15405,  0.41431,  0.85498,  1.00, -0.19685,  0.00,  0.98425,  0.00,  0.5625,  1.00
434, 124, -0.20435,  0.41016,  0.84326,  1.00, -0.25984,  0.00,  0.9685,  0.00,  0.5835,  1.00
435, 52, -0.10303,  0.00,  0.86328,  1.00, -0.13386,  0.00,  0.99213,  0.00,  0.5415,  0.50
436, 125, -0.15405,  0.41431,  0.85498,  1.00, -0.19685,  0.00,  0.98425,  0.00,  0.5625,  1.00
437, 54, -0.15405,  0.00,  0.85498,  1.00, -0.19685,  0.00,  0.98425,  0.00,  0.5625,  0.50
438, 52, -0.10303,  0.00,  0.86328,  1.00, -0.13386,  0.00,  0.99213,  0.00,  0.5415,  0.50
439, 126, -0.10303,  0.41724,  0.86328,  1.00, -0.12598,  0.00,  0.99213,  0.00,  0.5415,  1.00
440, 125, -0.15405,  0.41431,  0.85498,  1.00, -0.19685,  0.00,  0.98425,  0.00,  0.5625,  1.00
441, 50, -0.05164,  0.00,  0.86816,  1.00, -0.06299,  0.00,  1.00,  0.00,  0.521,  0.50
442, 126, -0.10303,  0.41724,  0.86328,  1.00, -0.12598,  0.00,  0.99213,  0.00,  0.5415,  1.00
443, 52, -0.10303,  0.00,  0.86328,  1.00, -0.13386,  0.00,  0.99213,  0.00,  0.5415,  0.50
444, 50, -0.05164,  0.00,  0.86816,  1.00, -0.06299,  0.00,  1.00,  0.00,  0.521,  0.50
445, 127, -0.05164,  0.41895,  0.86816,  1.00, -0.06299,  0.00,  1.00,  0.00,  0.521,  1.00
446, 126, -0.10303,  0.41724,  0.86328,  1.00, -0.12598,  0.00,  0.99213,  0.00,  0.5415,  1.00
447, 48, -1.19209E-07,  0.00,  0.87012,  1.00,  0.00,  0.00,  1.00,  0.00,  0.50,  0.50
448, 127, -0.05164,  0.41895,  0.86816,  1.00, -0.06299,  0.00,  1.00,  0.00,  0.521,  1.00
449, 50, -0.05164,  0.00,  0.86816,  1.00, -0.06299,  0.00,  1.00,  0.00,  0.521,  0.50
450, 48, -1.19209E-07,  0.00,  0.87012,  1.00,  0.00,  0.00,  1.00,  0.00,  0.50,  0.50
451, 128, -1.19209E-07,  0.41943,  0.87012,  1.00,  0.00,  0.00,  1.00,  0.00,  0.50,  1.00
452, 127, -0.05164,  0.41895,  0.86816,  1.00, -0.06299,  0.00,  1.00,  0.00,  0.521,  1.00
453, 46,  0.05164,  0.00,  0.86816,  1.00,  0.06299,  0.00,  1.00,  0.00,  0.47925,  0.50
454, 128, -1.19209E-07,  0.41943,  0.87012,  1.00,  0.00,  0.00,  1.00,  0.00,  0.50,  1.00
455, 48, -1.19209E-07,  0.00,  0.87012,  1.00,  0.00,  0.00,  1.00,  0.00,  0.50,  0.50
456, 46,  0.05164,  0.00,  0.86816,  1.00,  0.06299,  0.00,  1.00,  0.00,  0.47925,  0.50
457, 129,  0.05164,  0.4187,  0.86816,  1.00,  0.06299,  0.00,  1.00,  0.00,  0.47925,  1.00
458, 128, -1.19209E-07,  0.41943,  0.87012,  1.00,  0.00,  0.00,  1.00,  0.00,  0.50,  1.00
459, 44,  0.10303,  0.00,  0.86328,  1.00,  0.13386,  0.00,  0.99213,  0.00,  0.45825,  0.50
460, 129,  0.05164,  0.4187,  0.86816,  1.00,  0.06299,  0.00,  1.00,  0.00,  0.47925,  1.00
461, 46,  0.05164,  0.00,  0.86816,  1.00,  0.06299,  0.00,  1.00,  0.00,  0.47925,  0.50
462, 44,  0.10303,  0.00,  0.86328,  1.00,  0.13386,  0.00,  0.99213,  0.00,  0.45825,  0.50
463, 130,  0.10303,  0.41699,  0.86328,  1.00,  0.12598,  0.00,  0.99213,  0.00,  0.45825,  1.00
464, 129,  0.05164,  0.4187,  0.86816,  1.00,  0.06299,  0.00,  1.00,  0.00,  0.47925,  1.00
465, 42,  0.15405,  0.00,  0.85498,  1.00,  0.19685,  0.00,  0.98425,  0.00,  0.4375,  0.50
466, 130,  0.10303,  0.41699,  0.86328,  1.00,  0.12598,  0.00,  0.99213,  0.00,  0.45825,  1.00
467, 44,  0.10303,  0.00,  0.86328,  1.00,  0.13386,  0.00,  0.99213,  0.00,  0.45825,  0.50
468, 42,  0.15405,  0.00,  0.85498,  1.00,  0.19685,  0.00,  0.98425,  0.00,  0.4375,  0.50
469, 131,  0.15405,  0.41382,  0.85498,  1.00,  0.19685,  0.00,  0.98425,  0.00,  0.4375,  1.00
470, 130,  0.10303,  0.41699,  0.86328,  1.00,  0.12598,  0.00,  0.99213,  0.00,  0.45825,  1.00
471, 40,  0.20435,  0.00,  0.84326,  1.00,  0.25984,  0.00,  0.9685,  0.00,  0.41675,  0.50
472, 131,  0.15405,  0.41382,  0.85498,  1.00,  0.19685,  0.00,  0.98425,  0.00,  0.4375,  1.00
473, 42,  0.15405,  0.00,  0.85498,  1.00,  0.19685,  0.00,  0.98425,  0.00,  0.4375,  0.50
474, 40,  0.20435,  0.00,  0.84326,  1.00,  0.25984,  0.00,  0.9685,  0.00,  0.41675,  0.50
475, 132,  0.20435,  0.40967,  0.84326,  1.00,  0.25984,  0.00,  0.9685,  0.00,  0.41675,  1.00
476, 131,  0.15405,  0.41382,  0.85498,  1.00,  0.19685,  0.00,  0.98425,  0.00,  0.4375,  1.00
477, 38,  0.25366,  0.00,  0.82813,  1.00,  0.32283,  0.00,  0.94488,  0.00,  0.39575,  0.50
478, 132,  0.20435,  0.40967,  0.84326,  1.00,  0.25984,  0.00,  0.9685,  0.00,  0.41675,  1.00
479, 40,  0.20435,  0.00,  0.84326,  1.00,  0.25984,  0.00,  0.9685,  0.00,  0.41675,  0.50
480, 38,  0.25366,  0.00,  0.82813,  1.00,  0.32283,  0.00,  0.94488,  0.00,  0.39575,  0.50
481, 133,  0.25366,  0.4043,  0.82813,  1.00,  0.32283,  0.00,  0.94488,  0.00,  0.39575,  1.00
482, 132,  0.20435,  0.40967,  0.84326,  1.00,  0.25984,  0.00,  0.9685,  0.00,  0.41675,  1.00
483, 36,  0.302,  0.00,  0.81006,  1.00,  0.38583,  0.00,  0.92126,  0.00,  0.375,  0.50
484, 133,  0.25366,  0.4043,  0.82813,  1.00,  0.32283,  0.00,  0.94488,  0.00,  0.39575,  1.00
485, 38,  0.25366,  0.00,  0.82813,  1.00,  0.32283,  0.00,  0.94488,  0.00,  0.39575,  0.50
486, 36,  0.302,  0.00,  0.81006,  1.00,  0.38583,  0.00,  0.92126,  0.00,  0.375,  0.50
487, 134,  0.302,  0.39795,  0.81006,  1.00,  0.37795,  0.00,  0.92126,  0.00,  0.375,  1.00
488, 133,  0.25366,  0.4043,  0.82813,  1.00,  0.32283,  0.00,  0.94488,  0.00,  0.39575,  1.00
489, 34,  0.34912,  0.00,  0.78857,  1.00,  0.44094,  0.00,  0.89764,  0.00,  0.35425,  0.50
490, 134,  0.302,  0.39795,  0.81006,  1.00,  0.37795,  0.00,  0.92126,  0.00,  0.375,  1.00
491, 36,  0.302,  0.00,  0.81006,  1.00,  0.38583,  0.00,  0.92126,  0.00,  0.375,  0.50
492, 34,  0.34912,  0.00,  0.78857,  1.00,  0.44094,  0.00,  0.89764,  0.00,  0.35425,  0.50
493, 135,  0.34912,  0.39038,  0.78857,  1.00,  0.44094,  0.00,  0.89764,  0.00,  0.35425,  1.00
494, 134,  0.302,  0.39795,  0.81006,  1.00,  0.37795,  0.00,  0.92126,  0.00,  0.375,  1.00
495, 32,  0.39478,  0.00,  0.76416,  1.00,  0.50394,  0.00,  0.86614,  0.00,  0.33325,  0.50
496, 135,  0.34912,  0.39038,  0.78857,  1.00,  0.44094,  0.00,  0.89764,  0.00,  0.35425,  1.00
497, 34,  0.34912,  0.00,  0.78857,  1.00,  0.44094,  0.00,  0.89764,  0.00,  0.35425,  0.50
498, 32,  0.39478,  0.00,  0.76416,  1.00,  0.50394,  0.00,  0.86614,  0.00,  0.33325,  0.50
499, 136,  0.39478,  0.38159,  0.76416,  1.00,  0.49606,  0.00,  0.86614,  0.00,  0.33325,  1.00
500, 135,  0.34912,  0.39038,  0.78857,  1.00,  0.44094,  0.00,  0.89764,  0.00,  0.35425,  1.00
501, 30,  0.43994,  0.00,  0.73633,  1.00,  0.55906,  0.00,  0.82677,  0.00,  0.3125,  0.50
502, 136,  0.39478,  0.38159,  0.76416,  1.00,  0.49606,  0.00,  0.86614,  0.00,  0.33325,  1.00
503, 32,  0.39478,  0.00,  0.76416,  1.00,  0.50394,  0.00,  0.86614,  0.00,  0.33325,  0.50
504, 30,  0.43994,  0.00,  0.73633,  1.00,  0.55906,  0.00,  0.82677,  0.00,  0.3125,  0.50
505, 137,  0.43994,  0.37109,  0.73584,  1.00,  0.55118,  0.00,  0.83465,  0.00,  0.3125,  1.00
506, 136,  0.39478,  0.38159,  0.76416,  1.00,  0.49606,  0.00,  0.86614,  0.00,  0.33325,  1.00
507, 28,  0.48535,  0.00,  0.70313,  1.00,  0.61417,  0.00,  0.7874,  0.00,  0.29175,  0.50
508, 137,  0.43994,  0.37109,  0.73584,  1.00,  0.55118,  0.00,  0.83465,  0.00,  0.3125,  1.00
509, 30,  0.43994,  0.00,  0.73633,  1.00,  0.55906,  0.00,  0.82677,  0.00,  0.3125,  0.50
510, 28,  0.48535,  0.00,  0.70313,  1.00,  0.61417,  0.00,  0.7874,  0.00,  0.29175,  0.50
511, 138,  0.48584,  0.35815,  0.70313,  1.00,  0.61417,  0.00,  0.7874,  0.00,  0.29175,  1.00
512, 137,  0.43994,  0.37109,  0.73584,  1.00,  0.55118,  0.00,  0.83465,  0.00,  0.3125,  1.00
513, 26,  0.52979,  0.00,  0.66553,  1.00,  0.66929,  0.00,  0.74016,  0.00,  0.27075,  0.50
514, 138,  0.48584,  0.35815,  0.70313,  1.00,  0.61417,  0.00,  0.7874,  0.00,  0.29175,  1.00
515, 28,  0.48535,  0.00,  0.70313,  1.00,  0.61417,  0.00,  0.7874,  0.00,  0.29175,  0.50
516, 26,  0.52979,  0.00,  0.66553,  1.00,  0.66929,  0.00,  0.74016,  0.00,  0.27075,  0.50
517, 139,  0.53076,  0.34351,  0.66504,  1.00,  0.66929,  0.00,  0.74803,  0.00,  0.27075,  1.00
518, 138,  0.48584,  0.35815,  0.70313,  1.00,  0.61417,  0.00,  0.7874,  0.00,  0.29175,  1.00
519, 24,  0.57275,  0.00,  0.62402,  1.00,  0.72441,  0.00,  0.68504,  0.00,  0.25,  0.50
520, 139,  0.53076,  0.34351,  0.66504,  1.00,  0.66929,  0.00,  0.74803,  0.00,  0.27075,  1.00
521, 26,  0.52979,  0.00,  0.66553,  1.00,  0.66929,  0.00,  0.74016,  0.00,  0.27075,  0.50
522, 24,  0.57275,  0.00,  0.62402,  1.00,  0.72441,  0.00,  0.68504,  0.00,  0.25,  0.50
523, 140,  0.57373,  0.3269,  0.62256,  1.00,  0.72441,  0.00,  0.69291,  0.00,  0.25,  1.00
524, 139,  0.53076,  0.34351,  0.66504,  1.00,  0.66929,  0.00,  0.74803,  0.00,  0.27075,  1.00
525, 22,  0.61279,  0.00,  0.57861,  1.00,  0.77953,  0.00,  0.62992,  0.00,  0.22913,  0.50
526, 140,  0.57373,  0.3269,  0.62256,  1.00,  0.72441,  0.00,  0.69291,  0.00,  0.25,  1.00
527, 24,  0.57275,  0.00,  0.62402,  1.00,  0.72441,  0.00,  0.68504,  0.00,  0.25,  0.50
528, 22,  0.61279,  0.00,  0.57861,  1.00,  0.77953,  0.00,  0.62992,  0.00,  0.22913,  0.50
529, 141,  0.61426,  0.30884,  0.57666,  1.00,  0.77165,  0.00,  0.62992,  0.00,  0.22913,  1.00
530, 140,  0.57373,  0.3269,  0.62256,  1.00,  0.72441,  0.00,  0.69291,  0.00,  0.25,  1.00
531, 20,  0.64941,  0.00,  0.52979,  1.00,  0.8189,  0.00,  0.56693,  0.00,  0.20837,  0.50
532, 141,  0.61426,  0.30884,  0.57666,  1.00,  0.77165,  0.00,  0.62992,  0.00,  0.22913,  1.00
533, 22,  0.61279,  0.00,  0.57861,  1.00,  0.77953,  0.00,  0.62992,  0.00,  0.22913,  0.50
534, 20,  0.64941,  0.00,  0.52979,  1.00,  0.8189,  0.00,  0.56693,  0.00,  0.20837,  0.50
535, 142,  0.65088,  0.28931,  0.52734,  1.00,  0.8189,  0.00,  0.5748,  0.00,  0.20837,  1.00
536, 141,  0.61426,  0.30884,  0.57666,  1.00,  0.77165,  0.00,  0.62992,  0.00,  0.22913,  1.00
537, 18,  0.68164,  0.00,  0.47876,  1.00,  0.86614,  0.00,  0.50394,  0.00,  0.1875,  0.50
538, 142,  0.65088,  0.28931,  0.52734,  1.00,  0.8189,  0.00,  0.5748,  0.00,  0.20837,  1.00
539, 20,  0.64941,  0.00,  0.52979,  1.00,  0.8189,  0.00,  0.56693,  0.00,  0.20837,  0.50
540, 18,  0.68164,  0.00,  0.47876,  1.00,  0.86614,  0.00,  0.50394,  0.00,  0.1875,  0.50
541, 143,  0.68359,  0.26904,  0.47534,  1.00,  0.85827,  0.00,  0.50394,  0.00,  0.1875,  1.00
542, 142,  0.65088,  0.28931,  0.52734,  1.00,  0.8189,  0.00,  0.5748,  0.00,  0.20837,  1.00
543, 16,  0.70947,  0.00,  0.42651,  1.00,  0.89764,  0.00,  0.44094,  0.00,  0.16663,  0.50
544, 143,  0.68359,  0.26904,  0.47534,  1.00,  0.85827,  0.00,  0.50394,  0.00,  0.1875,  1.00
545, 18,  0.68164,  0.00,  0.47876,  1.00,  0.86614,  0.00,  0.50394,  0.00,  0.1875,  0.50
546, 16,  0.70947,  0.00,  0.42651,  1.00,  0.89764,  0.00,  0.44094,  0.00,  0.16663,  0.50
547, 144,  0.71143,  0.24805,  0.42236,  1.00,  0.89764,  0.00,  0.44094,  0.00,  0.16663,  1.00
548, 143,  0.68359,  0.26904,  0.47534,  1.00,  0.85827,  0.00,  0.50394,  0.00,  0.1875,  1.00
549, 14,  0.73291,  0.00,  0.37378,  1.00,  0.92913,  0.00,  0.37008,  0.00,  0.14587,  0.50
550, 144,  0.71143,  0.24805,  0.42236,  1.00,  0.89764,  0.00,  0.44094,  0.00,  0.16663,  1.00
551, 16,  0.70947,  0.00,  0.42651,  1.00,  0.89764,  0.00,  0.44094,  0.00,  0.16663,  0.50
552, 14,  0.73291,  0.00,  0.37378,  1.00,  0.92913,  0.00,  0.37008,  0.00,  0.14587,  0.50
553, 145,  0.73486,  0.22644,  0.36914,  1.00,  0.92913,  0.00,  0.37008,  0.00,  0.14587,  1.00
554, 144,  0.71143,  0.24805,  0.42236,  1.00,  0.89764,  0.00,  0.44094,  0.00,  0.16663,  1.00
555, 12,  0.75146,  0.00,  0.32178,  1.00,  0.95276,  0.00,  0.30709,  0.00,  0.125,  0.50
556, 145,  0.73486,  0.22644,  0.36914,  1.00,  0.92913,  0.00,  0.37008,  0.00,  0.14587,  1.00
557, 14,  0.73291,  0.00,  0.37378,  1.00,  0.92913,  0.00,  0.37008,  0.00,  0.14587,  0.50
558, 12,  0.75146,  0.00,  0.32178,  1.00,  0.95276,  0.00,  0.30709,  0.00,  0.125,  0.50
559, 146,  0.75342,  0.20471,  0.31689,  1.00,  0.95276,  0.00,  0.30709,  0.00,  0.125,  1.00
560, 145,  0.73486,  0.22644,  0.36914,  1.00,  0.92913,  0.00,  0.37008,  0.00,  0.14587,  1.00
561, 10,  0.76611, -5.96046E-08,  0.27148,  1.00,  0.9685,  0.00,  0.24409,  0.00,  0.10419,  0.50
562, 146,  0.75342,  0.20471,  0.31689,  1.00,  0.95276,  0.00,  0.30709,  0.00,  0.125,  1.00
563, 12,  0.75146,  0.00,  0.32178,  1.00,  0.95276,  0.00,  0.30709,  0.00,  0.125,  0.50
