VTX, IDX, _input0.x, _input0.y, _input0.z, _input1.x, _input1.y, _input1.z, _input2.x, _input2.y, _input3.x, _input3.y
8697, 1832, -4.23947, -0.97792,  0.28817, -0.288,  0.53225, -0.52323,  0.6151,  0.9245,  0.6151,  0.9245
8698, 1833, -3.728, -0.70056,  0.30894, -0.35625,  0.63249, -0.33621,  0.5813,  0.9631,  0.5813,  0.9631
8699, 1834, -3.79839, -0.81874,  0.22218, -0.31686,  0.36455, -0.63773,  0.5951,  0.9612,  0.5951,  0.9612
8700, 1833, -3.728, -0.70056,  0.30894, -0.35625,  0.63249, -0.33621,  0.5813,  0.9631,  0.5813,  0.9631
8701, 1835, -3.58475, -0.71905,  0.14393, -0.68926,  0.4057,  0.01796,  0.5913,  0.9812,  0.5913,  0.9812
8702, 1834, -3.79839, -0.81874,  0.22218, -0.31686,  0.36455, -0.63773,  0.5951,  0.9612,  0.5951,  0.9612
8703, 1833, -3.728, -0.70056,  0.30894, -0.35625,  0.63249, -0.33621,  0.5813,  0.9631,  0.5813,  0.9631
8704, 1836, -3.50385, -0.62964,  0.25368, -0.53015,  0.55132,  0.2345,  0.5778,  0.9845,  0.5778,  0.9845
8705, 1835, -3.58475, -0.71905,  0.14393, -0.68926,  0.4057,  0.01796,  0.5913,  0.9812,  0.5913,  0.9812
8706, 1837, -3.354, -0.60391,  0.40013, -0.20638,  0.59805,  0.48963,  0.5606,  0.9887,  0.5606,  0.9887
8707, 1836, -3.50385, -0.62964,  0.25368, -0.53015,  0.55132,  0.2345,  0.5778,  0.9845,  0.5778,  0.9845
8708, 1833, -3.728, -0.70056,  0.30894, -0.35625,  0.63249, -0.33621,  0.5813,  0.9631,  0.5813,  0.9631
8709, 1832, -4.23947, -0.97792,  0.28817, -0.288,  0.53225, -0.52323,  0.6151,  0.9245,  0.6151,  0.9245
8710, 1838, -4.16813, -0.87227,  0.40249, -0.38347,  0.68937, -0.1331,  0.6003,  0.9259,  0.6003,  0.9259
