VTX, IDX, _input0.x, _input0.y, _input0.z, _input1.x, _input1.y, _input1.z, _input2.x, _input2.y, _input3.x, _input3.y
4941, 1136,  1.22313, -0.43715,  2.59114E-06, -0.69291, -0.09938, -1.76590E-08,  0.96316,  0.78149,  0.96316,  0.78149
4942, 1134,  1.30246, -0.56275,  2.58915E-06,  0.21806, -0.66517, -1.48276E-08,  0.97178,  0.80446,  0.97178,  0.80446
4943, 1131,  1.2151, -0.70029,  0.14012, -0.20884, -0.6679,  0.01715,  0.921,  0.8296,  0.921,  0.8296
4944, 1136,  1.22313, -0.43715,  2.59114E-06, -0.69291, -0.09938, -1.76590E-08,  0.96316,  0.78149,  0.96316,  0.78149
4945, 1134,  1.30246, -0.56275,  2.58915E-06,  0.21806, -0.66517, -1.48276E-08,  0.97178,  0.80446,  0.97178,  0.80446
4946, 1131,  1.2151, -0.70029,  0.14012, -0.20884, -0.6679,  0.01715,  0.921,  0.8296,  0.921,  0.8296
4947, 1137,  0.74754, -0.73282, -0.69922, -0.41366,  0.15234,  0.54376,  0.98,  0.9317,  0.98,  0.9317
4948, 1138,  0.84458, -0.56431, -0.67261,  0.22334,  0.63247,  0.20027,  0.9361,  0.9321,  0.9361,  0.9321
4949, 1139,  0.72612, -0.67807, -0.79106, -0.2486,  0.57813, -0.30654,  0.961,  0.9615,  0.961,  0.9615
4950, 1137,  0.74754, -0.73282, -0.69922, -0.41366,  0.15234,  0.54376,  0.98,  0.9317,  0.98,  0.9317
4951, 1138,  0.84458, -0.56431, -0.67261,  0.22334,  0.63247,  0.20027,  0.9361,  0.9321,  0.9361,  0.9321
4952, 1139,  0.72612, -0.67807, -0.79106, -0.2486,  0.57813, -0.30654,  0.961,  0.9615,  0.961,  0.9615
4953, 1140,  0.8139, -0.7391, -0.74637,  0.50671,  0.10956, -0.47036,  0.9309,  0.972,  0.9309,  0.972
4954, 1139,  0.72612, -0.67807, -0.79106, -0.2486,  0.57813, -0.30654,  0.961,  0.9615,  0.961,  0.9615
4955, 1138,  0.84458, -0.56431, -0.67261,  0.22334,  0.63247,  0.20027,  0.9361,  0.9321,  0.9361,  0.9321
4956, 1140,  0.8139, -0.7391, -0.74637,  0.50671,  0.10956, -0.47036,  0.9309,  0.972,  0.9309,  0.972
4957, 1139,  0.72612, -0.67807, -0.79106, -0.2486,  0.57813, -0.30654,  0.961,  0.9615,  0.961,  0.9615
4958, 1138,  0.84458, -0.56431, -0.67261,  0.22334,  0.63247,  0.20027,  0.9361,  0.9321,  0.9361,  0.9321
