_child0 -0.92432, 200.22745, 2.16211            0 float3
_child1 1.00, 0.25, 6000.68506, 0.00017         16 float4
_child2 -24001.74023, 24002.74023, -3.99983, 4.00 32 float4
_child3 0.08579, 0.43656, 0.99871, 1.30         48 float4
_child4 0.045, 0.00355, 0.00, 0.00              64 float4
_child5 0.00391, -0.0625, 1.00, 1.00            80 float4
_child6 0.00951, 0.18316, 0.4783, 0.90          96 float4
_child7 0.1155, 0.02468, -0.16024, 0.00         112 float4
_child8 0.00387, -0.7728, 0.00042, -0.00671     128 float4
_child9 0.12392, 0.45787, 0.76562, 0.00017      144 float4
_child10 -0.001, 9.00, -0.001, 1.1998            160 float4
_child11 1.00, 1.00, 1.00, 16.00                 176 float4
_child12 1.00, 0.00, -0.01, 2.50                 192 float4
_child13 0.98102, -0.01916, 1.00, 0.00           208 float4
_child14 1.00, 0.90, 0.00, 0.00                  224 float4
_child15 -1632.0802, 0.00, 2615.10693, 0.00      240 float4
_child16 1.00, 1.00, 1.00, 0.07213               256 float4
_child17 1.00, -1.00, 10000.00, 0.00             272 float4
_child18 1.00, 1.00, 1.00, -16.00                288 float4
_child19 0.00, 0.00, 0.00, 0.00                  304 float4
_child20 0.00, 0.00, 0.00, 0.00                  320 float4
_child21 0.00                                    336 float
_child22 0.00, 0.00, 0.00                        352 float3
_child23 0.00, 0.00, 0.00, 0.00                  368 float4
_child24 0.00, 0.00, 0.00, 0.00                  384 float4
_child25 0.00                                    400 float
